person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,486,1811,-74.529305,,,
unknown,487,1815,-69.914147,,,
unknown,488,1809,-64.665258,,,
unknown,489,1795,-59.081505,,,
unknown,490,1775,-54.433157,,,
unknown,491,1745,-51.097896,,,
unknown,492,1714,-48.853651,,,
unknown,493,1686,-48.263325,,,
unknown,494,1655,-49.552073,,,
unknown,495,1636,-53.019143,,,
unknown,496,1626,-58.274317,,,
unknown,497,1629,-65.537203,,,
unknown,498,1634,-73.532281,,,
unknown,499,1648,-82.157727,,,
unknown,500,1667,-91.205852,,,
unknown,501,1685,-100.249224,,,
unknown,502,1711,-108.110910,,,
unknown,503,1732,-114.362997,,,
unknown,504,1749,-119.020067,,,
unknown,505,1765,-121.489500,,,
unknown,506,1770,-122.348792,,,
unknown,507,1773,-121.303805,,,
unknown,508,1767,-118.444205,,,
unknown,509,1753,-113.746327,,,
unknown,510,1732,-108.563212,,,
unknown,511,1707,-103.032276,,,
unknown,512,1680,-97.306651,,,
unknown,513,1649,-91.859228,,,
unknown,514,1627,-87.403046,,,
unknown,515,1611,-84.330515,,,
unknown,516,1602,-82.832548,,,
unknown,517,1604,-83.374530,,,
unknown,518,1614,-85.139639,,,
unknown,519,1629,-88.380869,,,
unknown,520,1648,-92.983001,,,
unknown,521,1675,-98.870564,,,
unknown,522,1701,-104.677710,,,
unknown,523,1722,-110.200100,,,
unknown,524,1744,-115.456395,,,
unknown,525,1757,-119.945059,,,
unknown,526,1767,-123.015516,,,
unknown,527,1771,-124.310597,,,
unknown,528,1763,-123.856565,,,
unknown,529,1750,-121.246708,,,
unknown,530,1733,-117.404490,,,
unknown,531,1712,-112.183947,,,
unknown,532,1682,-105.682530,,,
unknown,533,1657,-98.067560,,,
unknown,534,1637,-90.788072,,,
unknown,535,1619,-84.109289,,,
unknown,536,1616,-77.739622,,,
unknown,537,1618,-72.214815,,,
unknown,538,1631,-67.765652,,,
unknown,539,1650,-64.651779,,,
unknown,540,1678,-62.789098,,,
unknown,541,1702,-62.406471,,,
unknown,542,1729,-62.459534,,,
unknown,543,1758,-62.959649,,,
unknown,544,1779,-63.752707,,,
unknown,545,1799,-64.546665,,,
unknown,546,1811,-64.280465,,,
unknown,547,1823,-62.635589,,,
unknown,548,1823,-59.755491,,,
unknown,549,1811,-55.161964,,,
unknown,550,1803,-48.889689,,,
unknown,551,1786,-40.695121,,,
unknown,552,1770,-30.880347,,,
unknown,553,1746,-19.325300,,,
unknown,554,1734,-7.321691,,,
unknown,555,1726,4.992397,,,
unknown,556,1728,17.459752,,,
unknown,557,1738,29.628333,,,
unknown,558,1749,40.410398,,,
unknown,559,1773,49.385681,,,
unknown,560,1792,56.499332,,,
unknown,561,1821,61.179852,,,
unknown,562,1845,64.125929,,,
unknown,563,1867,65.048803,,,
unknown,564,1890,63.985005,,,
unknown,565,1908,60.943465,,,
unknown,566,1918,57.298598,,,
unknown,567,1923,53.193940,,,
unknown,568,1921,48.803254,,,
unknown,569,1911,44.612549,,,
unknown,570,1893,41.375471,,,
unknown,571,1870,39.502166,,,
unknown,572,1845,39.234872,,,
unknown,573,1817,41.066375,,,
unknown,574,1795,44.235998,,,
unknown,575,1781,49.033367,,,
unknown,576,1777,55.361757,,,
unknown,577,1779,63.185516,,,
unknown,578,1792,71.111806,,,
unknown,579,1808,78.963096,,,
unknown,580,1830,86.689483,,,
unknown,581,1855,93.791921,,,
unknown,582,1879,99.465538,,,
unknown,583,1904,103.320689,,,
unknown,584,1927,105.275054,,,
unknown,585,1939,104.849020,,,
unknown,586,1952,102.961211,,,
unknown,587,1958,99.391607,,,
